,city,date,fare,ride_id,driver_count,type,,,,,,,
317,New Jacobville,2/18/2018 21:09,39.97,8.03E+12,50,Urban,,,,,,,
318,Roberthaven,3/14/2018 16:12,36.84,4.12E+12,47,Urban,,,,,,,
319,Lake Scottton,4/24/2018 11:54,5.31,9.67E+12,58,Urban,,,,,,,
320,Amandaburgh,1/11/2018 2:22,29.24,7.28E+12,12,Urban,,,,,,,
321,Reynoldsfurt,5/5/2018 17:38,14.95,1.40E+12,67,Urban,,,,,,,
322,West Patrickchester,2/9/2018 5:54,16.1,9.11E+12,25,Urban,,,,,,,
323,Christopherfurt,4/13/2018 8:29,37.22,3.29E+12,41,Urban,,,,,,,
324,South Evanton,4/27/2018 0:58,27.78,9.38E+12,11,Urban,,,,,,,
325,Lake Scottton,2/7/2018 5:08,10.76,4.20E+12,58,Urban,,,,,,,
326,Roberthaven,3/14/2018 15:24,35.27,4.03E+12,47,Urban,,,,,,,
327,Rodneyfort,3/4/2018 15:13,28.69,2.76E+11,34,Urban,,,,,,,
328,West Josephberg,2/17/2018 6:28,41.49,2.82E+12,45,Urban,,,,,,,
329,Lake Jonathanshire,3/21/2018 0:18,37.95,8.35E+12,5,Urban,,,,,,,
330,Simpsonburgh,2/5/2018 16:02,25.58,2.04E+12,21,Urban,,,,,,,
331,West Heidi,3/19/2018 3:15,5.65,2.47E+12,28,Urban,,,,,,,
332,North Barbara,3/23/2018 20:59,23.76,5.55E+12,18,Urban,,,,,,,
333,North Jasmine,3/11/2018 21:03,37.93,4.22E+12,33,Urban,,,,,,,
334,West Gabriel,4/29/2018 1:22,36.7,4.10E+12,57,Urban,,,,,,,
335,Liumouth,4/14/2018 6:43,31.63,6.17E+12,69,Urban,,,,,,,
336,Carriemouth,3/2/2018 15:40,28.04,5.14E+12,52,Urban,,,,,,,
337,West Robert,3/24/2018 15:21,34.9,9.47E+12,39,Urban,,,,,,,
338,North Jasmine,5/2/2018 10:24,29.86,3.20E+12,33,Urban,,,,,,,
339,Carriemouth,3/21/2018 15:40,44.64,9.56E+12,52,Urban,,,,,,,
340,Lake Scottton,2/15/2018 6:49,22.75,8.38E+12,58,Urban,,,,,,,
341,North Madeline,4/12/2018 13:57,7.77,9.27E+12,19,Urban,,,,,,,
342,Lake Danielberg,1/7/2018 9:41,17.39,4.36E+12,19,Urban,,,,,,,
343,North Madeline,4/30/2018 16:02,37.48,2.51E+12,19,Urban,,,,,,,
344,Port David,1/7/2018 20:03,20.49,5.85E+12,7,Urban,,,,,,,
345,Royland,2/11/2018 3:46,30.41,7.20E+12,64,Urban,,,,,,,
346,West Samuelburgh,2/20/2018 1:05,19.65,6.62E+12,73,Urban,,,,,,,
347,West Angela,3/18/2018 12:08,34.05,5.33E+12,48,Urban,,,,,,,
348,West Patrickchester,3/6/2018 4:19,32.37,3.68E+12,25,Urban,,,,,,,
349,Port Frank,2/5/2018 10:34,20.1,4.44E+12,23,Urban,,,,,,,
350,New Kimberlyborough,2/9/2018 5:48,39.55,6.01E+12,33,Urban,,,,,,,
351,Justinberg,4/20/2018 7:37,29.07,2.10E+11,39,Urban,,,,,,,
352,West Angela,4/18/2018 12:07,16.18,5.77E+12,48,Urban,,,,,,,
353,Justinberg,3/10/2018 9:19,37.89,5.56E+12,39,Urban,,,,,,,
354,Valentineton,1/10/2018 17:29,19.91,7.75E+11,45,Urban,,,,,,,
355,Williamsview,4/7/2018 0:32,18.92,23948941587,46,Urban,,,,,,,
356,South Jack,1/31/2018 2:51,21.75,6.97E+12,46,Urban,,,,,,,
357,Port Frank,2/18/2018 18:49,39.06,7.30E+12,23,Urban,,,,,,,
358,Leahton,2/13/2018 11:40,16.79,4.74E+12,17,Urban,,,,,,,
359,South Michelleport,2/22/2018 7:44,22.52,8.52E+12,72,Urban,,,,,,,
360,South Karenland,4/25/2018 14:44,24.86,1.31E+12,4,Urban,,,,,,,
361,Richardfort,2/16/2018 13:52,17.92,8.21E+11,38,Urban,,,,,,,
362,Williamsstad,4/16/2018 23:07,23.12,9.69E+11,59,Urban,,,,,,,
363,South Michelleport,2/12/2018 7:41,27.7,5.58E+12,72,Urban,,,,,,,
364,West Patrickchester,4/13/2018 19:49,33.33,1.83E+12,25,Urban,,,,,,,
365,Martinezhaven,4/18/2018 18:37,5.81,2.12E+12,25,Urban,,,,,,,
366,North Jason,1/23/2018 22:51,21.95,6.70E+12,6,Urban,,,,,,,
367,North Jason,4/18/2018 12:19,22.42,4.93E+12,6,Urban,,,,,,,
368,Lake Scottton,5/3/2018 22:33,9.01,1.29E+12,58,Urban,,,,,,,
369,West Christopherberg,3/1/2018 21:33,11.97,6.42E+12,32,Urban,,,,,,,
370,North Markport,4/10/2018 22:15,38.02,8.83E+12,22,Urban,,,,,,,
371,Christopherfurt,4/9/2018 0:32,29.96,9.83E+12,41,Urban,,,,,,,
372,North Madeline,1/29/2018 16:12,17.57,2.60E+12,19,Urban,,,,,,,
373,Richardfort,2/1/2018 20:18,10.26,9.55E+12,38,Urban,,,,,,,
374,South Phillip,1/25/2018 5:04,38.15,3.60E+12,38,Urban,,,,,,,
375,East Kaylahaven,2/11/2018 0:24,43.19,8.67E+12,65,Urban,,,,,,,
376,Rodneyfort,4/11/2018 2:57,36.3,9.05E+12,34,Urban,,,,,,,
377,Pattyland,4/26/2018 8:31,19.99,8.83E+12,59,Urban,,,,,,,
378,South Karenland,3/24/2018 23:37,41.44,6.05E+11,4,Urban,,,,,,,
379,Port David,3/24/2018 21:58,28.84,5.27E+12,7,Urban,,,,,,,
380,Rodneyfort,3/10/2018 5:23,29.13,4.63E+12,34,Urban,,,,,,,
381,New Paulton,2/2/2018 16:37,17.19,8.50E+12,44,Urban,,,,,,,
382,Williamsstad,3/12/2018 1:39,18.67,2.16E+12,59,Urban,,,,,,,
383,South Michelleport,1/29/2018 20:40,9.79,5.53E+12,72,Urban,,,,,,,
384,West Christopherberg,3/21/2018 2:57,21.41,7.70E+12,32,Urban,,,,,,,
385,Lake Scottton,3/25/2018 21:46,36.92,7.04E+12,58,Urban,,,,,,,
386,Port Angela,3/19/2018 12:32,17.21,1.69E+12,67,Urban,,,,,,,
387,Christopherfurt,4/17/2018 22:12,32.39,6.54E+11,41,Urban,,,,,,,
388,Joneschester,2/27/2018 8:19,33.34,2.39E+12,39,Urban,,,,,,,
389,Loganberg,1/25/2018 1:59,26.03,9.12E+12,23,Urban,,,,,,,
390,South Phillip,2/19/2018 13:19,33.07,8.52E+12,38,Urban,,,,,,,
391,Deanville,1/23/2018 13:00,42.45,7.29E+12,49,Urban,,,,,,,
392,New Kimberlyborough,1/30/2018 21:46,29.09,8.59E+12,33,Urban,,,,,,,
393,Port Johnbury,4/11/2018 10:26,9.1,7.80E+12,3,Urban,,,,,,,
394,West Patrickchester,4/19/2018 3:26,44.5,8.64E+12,25,Urban,,,,,,,
395,West Robert,1/11/2018 11:10,5.16,1.59E+12,39,Urban,,,,,,,
396,New Paulton,3/28/2018 3:35,14.94,3.70E+12,44,Urban,,,,,,,
397,South Latoya,3/19/2018 16:19,31.72,3.64E+11,10,Urban,,,,,,,
398,Robertport,2/18/2018 15:01,43.47,8.00E+12,12,Urban,,,,,,,
399,Valentineton,1/19/2018 19:40,6.71,9.05E+12,45,Urban,,,,,,,
400,South Latoya,1/18/2018 20:09,10.98,7.14E+12,10,Urban,,,,,,,
401,Simpsonburgh,1/12/2018 4:35,24.83,3.15E+12,21,Urban,,,,,,,
402,West Patrickchester,2/12/2018 16:33,22.64,4.55E+12,25,Urban,,,,,,,
403,Richardfort,4/17/2018 2:26,23,7.20E+11,38,Urban,,,,,,,
404,Hurleymouth,2/20/2018 10:47,17.07,7.02E+12,36,Urban,,,,,,,
405,Leahton,1/27/2018 8:09,29.36,2.92E+12,17,Urban,,,,,,,
406,West Anthony,4/29/2018 1:12,27.04,4.38E+12,70,Urban,,,,,,,
407,New Kimberlyborough,1/5/2018 9:33,39.47,2.81E+12,33,Urban,,,,,,,
408,South Latoya,3/19/2018 22:03,40.29,6.60E+11,10,Urban,,,,,,,
409,Williamsstad,4/12/2018 12:30,17.57,7.10E+12,59,Urban,,,,,,,
410,South Karenland,2/1/2018 19:45,31.64,9.38E+12,4,Urban,,,,,,,
411,North Jason,4/16/2018 15:23,24.07,9.73E+12,6,Urban,,,,,,,
412,West Angela,1/27/2018 9:35,9.24,2.62E+12,48,Urban,,,,,,,
413,Lake Danielberg,2/8/2018 5:58,10.31,2.46E+12,19,Urban,,,,,,,
414,Port Samanthamouth,4/6/2018 13:42,24.18,8.48E+12,57,Urban,,,,,,,
415,New Jacobville,2/9/2018 2:25,37.51,5.69E+12,50,Urban,,,,,,,
416,New Kimberlyborough,3/10/2018 13:55,10.83,1.56E+12,33,Urban,,,,,,,
417,New Kimberlyborough,1/8/2018 18:59,13.34,6.27E+11,33,Urban,,,,,,,
418,Karenberg,3/5/2018 1:38,44.1,9.23E+12,22,Urban,,,,,,,
419,South Phillip,4/11/2018 10:09,21.06,4.83E+12,38,Urban,,,,,,,
420,Loganberg,1/20/2018 1:34,38.66,7.24E+12,23,Urban,,,,,,,
421,Carriemouth,5/1/2018 4:53,10.97,8.79E+12,52,Urban,,,,,,,
422,West Patrickchester,1/21/2018 14:48,19.44,2.09E+12,25,Urban,,,,,,,
423,Martinezhaven,2/7/2018 21:45,4.31,9.33E+12,25,Urban,,,,,,,
424,Karenside,1/8/2018 8:49,22.64,2.41E+12,5,Urban,,,,,,,
425,North Jason,3/24/2018 7:40,32.72,7.96E+12,6,Urban,,,,,,,
426,Lake Danielberg,3/28/2018 9:56,28.53,9.81E+12,19,Urban,,,,,,,
427,Pattyland,4/3/2018 3:29,14.06,5.40E+12,59,Urban,,,,,,,
428,Pattyland,2/21/2018 17:53,7.06,5.81E+12,59,Urban,,,,,,,
429,Loganberg,1/11/2018 4:27,44.34,1.38E+12,23,Urban,,,,,,,
430,Leahton,2/28/2018 13:10,9.08,8.20E+12,17,Urban,,,,,,,
431,Reynoldsfurt,1/17/2018 21:35,24.84,5.00E+12,67,Urban,,,,,,,
432,Raymondhaven,2/22/2018 23:54,7.64,7.31E+12,11,Urban,,,,,,,
433,South Latoya,2/12/2018 22:59,5.54,8.40E+11,10,Urban,,,,,,,
434,Lake Scottton,1/18/2018 2:32,31.92,5.71E+12,58,Urban,,,,,,,
435,Port David,2/24/2018 22:20,35.63,3.35E+12,7,Urban,,,,,,,
436,Roberthaven,4/5/2018 14:01,31.09,1.02E+12,47,Urban,,,,,,,
437,Rogerston,3/24/2018 2:56,39.6,9.20E+12,25,Urban,,,,,,,
438,Karenberg,4/27/2018 14:57,44.73,3.80E+12,22,Urban,,,,,,,
439,Martinezhaven,4/14/2018 16:26,32.57,9.71E+11,25,Urban,,,,,,,
440,South Evanton,1/20/2018 23:10,25.94,3.43E+12,11,Urban,,,,,,,
441,North Jasmine,4/26/2018 12:08,35.33,6.86E+12,33,Urban,,,,,,,
442,Hurleymouth,1/12/2018 1:19,10.64,8.13E+12,36,Urban,,,,,,,
443,West Robert,3/7/2018 15:57,12.22,2.71E+12,39,Urban,,,,,,,
444,Deanville,4/21/2018 23:32,33.37,7.76E+12,49,Urban,,,,,,,
445,South Michelleport,1/9/2018 1:48,10.68,3.24E+12,72,Urban,,,,,,,
446,Royland,2/2/2018 12:51,42.52,7.84E+12,64,Urban,,,,,,,
447,Rodneyfort,4/10/2018 23:38,25.4,9.06E+12,34,Urban,,,,,,,
448,North Madeline,1/12/2018 9:42,20.82,8.11E+12,19,Urban,,,,,,,
449,Lake Danielberg,4/28/2018 4:00,39.82,7.89E+12,19,Urban,,,,,,,
450,Port Johnbury,5/2/2018 12:46,42.42,3.25E+12,3,Urban,,,,,,,
451,Richardfort,4/21/2018 3:44,9.54,3.70E+12,38,Urban,,,,,,,
452,Liumouth,3/22/2018 4:06,33.1,3.68E+12,69,Urban,,,,,,,
453,Roberthaven,1/21/2018 19:25,23.14,4.94E+12,47,Urban,,,,,,,
454,Amandaburgh,1/21/2018 4:12,9.26,5.53E+12,12,Urban,,,,,,,
455,South Evanton,4/25/2018 0:37,26.84,1.54E+12,11,Urban,,,,,,,
456,Port Samanthamouth,3/25/2018 13:20,34.94,8.22E+11,57,Urban,,,,,,,
457,South Michelleport,3/13/2018 4:21,10.44,5.68E+12,72,Urban,,,,,,,
458,North Madeline,1/14/2018 3:43,31.88,8.71E+12,19,Urban,,,,,,,
459,Hurleymouth,3/17/2018 6:50,29.95,5.23E+12,36,Urban,,,,,,,
460,Port David,4/10/2018 14:27,26.68,5.36E+12,7,Urban,,,,,,,
461,Pattyland,2/10/2018 2:55,24.39,7.26E+12,59,Urban,,,,,,,
462,Liumouth,3/17/2018 19:21,19.05,9.12E+12,69,Urban,,,,,,,
463,Robertport,4/3/2018 1:20,15.14,6.67E+12,12,Urban,,,,,,,
464,Hurleymouth,4/1/2018 6:26,9.94,4.06E+12,36,Urban,,,,,,,
465,West Samuelburgh,4/17/2018 11:25,15.03,4.02E+12,73,Urban,,,,,,,
466,South Phillip,3/18/2018 4:11,17.57,8.43E+12,38,Urban,,,,,,,
467,West Josephberg,1/29/2018 2:13,7.58,6.14E+12,45,Urban,,,,,,,
468,Roberthaven,2/16/2018 10:23,14.95,6.65E+12,47,Urban,,,,,,,
469,West Christopherberg,3/27/2018 23:57,21.55,2.20E+12,32,Urban,,,,,,,
470,Christopherfurt,3/30/2018 13:15,31.3,7.46E+12,41,Urban,,,,,,,
471,Hurleymouth,2/1/2018 3:23,22.39,6.07E+12,36,Urban,,,,,,,
472,Port Frank,3/16/2018 20:54,30.24,1.45E+12,23,Urban,,,,,,,
473,Lake Danielberg,1/16/2018 11:59,20.07,8.45E+12,19,Urban,,,,,,,
474,West Ericstad,3/28/2018 13:29,22.28,3.14E+12,25,Urban,,,,,,,
475,Karenside,3/11/2018 16:18,44.29,3.27E+12,5,Urban,,,,,,,
476,South Evanton,3/17/2018 0:31,36.31,2.78E+12,11,Urban,,,,,,,
477,West Heidi,5/5/2018 15:47,37.75,3.65E+12,28,Urban,,,,,,,
478,Robertport,2/28/2018 22:50,13.39,6.81E+11,12,Urban,,,,,,,
479,South Jack,1/5/2018 11:31,13.14,6.81E+12,46,Urban,,,,,,,
480,West Josephberg,2/28/2018 18:19,11.1,3.53E+12,45,Urban,,,,,,,
481,Port Frank,3/26/2018 19:09,28.83,8.90E+11,23,Urban,,,,,,,
482,Barajasview,2/19/2018 2:25,26.83,9.37E+11,26,Urban,,,,,,,
483,Justinberg,1/3/2018 22:50,5.81,9.26E+12,39,Urban,,,,,,,
484,North Barbara,4/17/2018 2:49,39.18,3.50E+12,18,Urban,,,,,,,
485,West Angela,3/8/2018 13:24,4.92,5.45E+12,48,Urban,,,,,,,
486,South Latoya,3/19/2018 7:54,30.03,9.56E+12,10,Urban,,,,,,,
487,Hurleymouth,1/18/2018 10:59,4.66,8.62E+12,36,Urban,,,,,,,
488,Johnton,4/5/2018 7:12,22.87,1.03E+12,27,Urban,,,,,,,
489,Carriemouth,3/27/2018 2:11,38.69,4.41E+12,52,Urban,,,,,,,
490,Reynoldsfurt,4/19/2018 0:56,13.63,7.99E+12,67,Urban,,,,,,,
491,Christopherfurt,3/16/2018 19:46,19.61,2.29E+12,41,Urban,,,,,,,
492,Liumouth,4/28/2018 0:26,5.42,8.03E+12,69,Urban,,,,,,,
493,New Kimberlyborough,3/19/2018 7:17,15.78,6.41E+12,33,Urban,,,,,,,
494,Martinezhaven,3/7/2018 12:26,23.55,7.39E+12,25,Urban,,,,,,,
495,East Kaylahaven,4/6/2018 16:17,35.79,8.93E+12,65,Urban,,,,,,,
496,Simpsonburgh,4/26/2018 9:31,33.71,2.60E+12,21,Urban,,,,,,,
497,Lake Jonathanshire,1/28/2018 0:07,5.67,9.76E+12,5,Urban,,,,,,,
498,Robertport,4/19/2018 19:45,39.57,3.97E+12,12,Urban,,,,,,,
499,South Karenland,3/20/2018 10:34,33.24,3.10E+12,4,Urban,,,,,,,
500,Raymondhaven,3/7/2018 20:59,17.66,9.26E+12,11,Urban,,,,,,,
501,Port David,2/18/2018 14:47,20.16,1.85E+12,7,Urban,,,,,,,
502,Royland,2/20/2018 19:14,38.28,3.62E+12,64,Urban,,,,,,,
503,East Kaylahaven,1/29/2018 7:28,41.62,7.16E+12,65,Urban,,,,,,,
504,Valentineton,2/23/2018 11:46,19.99,9.66E+12,45,Urban,,,,,,,
505,Martinezhaven,3/12/2018 10:02,21.18,4.05E+12,25,Urban,,,,,,,
506,South Phillip,2/19/2018 20:47,28.62,4.41E+12,38,Urban,,,,,,,
507,Royland,5/4/2018 2:54,15.14,4.99E+12,64,Urban,,,,,,,
508,West Heidi,2/5/2018 19:24,24.32,4.26E+11,28,Urban,,,,,,,
509,East Kaylahaven,2/28/2018 16:46,33.72,1.22E+12,65,Urban,,,,,,,
510,New Kimberlyborough,4/3/2018 16:27,14.73,9.08E+12,33,Urban,,,,,,,
511,South Karenland,1/10/2018 23:48,37.58,7.17E+12,4,Urban,,,,,,,
512,Richardfort,2/3/2018 0:14,29.04,4.98E+12,38,Urban,,,,,,,
513,Justinberg,3/10/2018 5:15,22.43,5.55E+12,39,Urban,,,,,,,
514,Huntermouth,3/21/2018 8:44,32.42,3.39E+12,37,Urban,,,,,,,
515,Roberthaven,3/22/2018 4:19,34.69,1.77E+12,47,Urban,,,,,,,
516,West Heidi,3/11/2018 16:10,43.45,4.65E+12,28,Urban,,,,,,,
517,Raymondhaven,2/17/2018 2:06,39.7,3.25E+12,11,Urban,,,,,,,
518,Karenside,4/16/2018 23:13,39.32,3.16E+12,5,Urban,,,,,,,
519,Rogerston,3/16/2018 20:49,43.82,4.72E+12,25,Urban,,,,,,,
520,Port Johnbury,4/28/2018 16:29,36.42,2.74E+11,3,Urban,,,,,,,
521,West Josephberg,1/18/2018 12:47,43.85,9.65E+12,45,Urban,,,,,,,
522,North Jasmine,2/5/2018 22:28,19.21,6.79E+12,33,Urban,,,,,,,
523,Loganberg,4/10/2018 4:59,35.97,8.83E+12,23,Urban,,,,,,,
524,Barajasview,4/15/2018 20:37,17.76,8.10E+12,26,Urban,,,,,,,
525,New Paulton,4/17/2018 20:05,44.43,3.38E+11,44,Urban,,,,,,,
526,West Angela,1/19/2018 0:36,40.4,7.41E+11,48,Urban,,,,,,,
527,North Jasmine,2/18/2018 3:09,31.49,9.76E+12,33,Urban,,,,,,,
528,North Barbara,2/11/2018 18:51,43.26,8.97E+12,18,Urban,,,,,,,
529,Rogerston,3/2/2018 0:54,25.14,1.72E+12,25,Urban,,,,,,,
530,Williamsstad,2/21/2018 10:56,4.9,7.18E+12,59,Urban,,,,,,,
531,South Jack,1/14/2018 17:06,40.65,5.44E+12,46,Urban,,,,,,,
532,West Anthony,4/15/2018 11:02,43.82,4.38E+12,70,Urban,,,,,,,
533,Royland,2/12/2018 1:18,44.33,5.32E+12,64,Urban,,,,,,,
534,West Angela,4/3/2018 14:44,23.52,4.84E+12,48,Urban,,,,,,,
535,Liumouth,2/22/2018 3:55,6.39,8.12E+12,69,Urban,,,,,,,
536,Amandaburgh,4/19/2018 16:30,6.27,4.40E+12,12,Urban,,,,,,,
537,West Ericstad,1/23/2018 10:13,10.12,8.04E+12,25,Urban,,,,,,,
538,South Jack,1/15/2018 5:51,5.58,1.79E+12,46,Urban,,,,,,,
539,Barajasview,5/2/2018 21:02,17.12,4.63E+12,26,Urban,,,,,,,
540,Amandaburgh,3/20/2018 7:40,27.45,3.70E+12,12,Urban,,,,,,,
541,East Kaylahaven,3/17/2018 23:54,8.62,1.95E+12,65,Urban,,,,,,,
542,Port Samanthamouth,1/27/2018 0:57,28.46,8.83E+11,57,Urban,,,,,,,
543,New Paulville,1/25/2018 15:19,15.04,7.53E+12,44,Urban,,,,,,,
544,West Anthony,4/3/2018 2:42,10.56,3.76E+12,70,Urban,,,,,,,
545,Raymondhaven,1/6/2018 20:15,21.19,9.47E+12,11,Urban,,,,,,,
546,Rogerston,1/3/2018 21:45,36.28,7.09E+12,25,Urban,,,,,,,
547,Port David,4/2/2018 16:53,41.14,2.69E+12,7,Urban,,,,,,,
548,North Markport,2/8/2018 22:01,34.69,2.74E+12,22,Urban,,,,,,,
549,West Angela,3/4/2018 17:50,20.72,1.78E+12,48,Urban,,,,,,,
550,South Michelleport,4/21/2018 18:31,21.98,5.89E+12,72,Urban,,,,,,,
551,Port Frank,2/10/2018 8:14,40.82,6.39E+12,23,Urban,,,,,,,
552,Rogerston,2/14/2018 5:24,19.42,8.77E+12,25,Urban,,,,,,,
553,Joneschester,4/2/2018 4:52,10.52,4.97E+12,39,Urban,,,,,,,
554,South Karenland,3/17/2018 1:22,23.26,5.57E+11,4,Urban,,,,,,,
555,West Angela,5/5/2018 14:17,23.66,9.19E+12,48,Urban,,,,,,,
556,Royland,2/10/2018 13:50,11.24,4.95E+12,64,Urban,,,,,,,
557,Christopherfurt,1/30/2018 22:09,6.32,4.29E+12,41,Urban,,,,,,,
558,Barajasview,4/9/2018 8:10,39.36,1.80E+12,26,Urban,,,,,,,
559,Christopherfurt,2/8/2018 11:46,25.76,9.52E+11,41,Urban,,,,,,,
560,Leahton,1/13/2018 0:03,9.37,4.67E+12,17,Urban,,,,,,,
561,Port Angela,4/15/2018 23:02,20.16,6.49E+12,67,Urban,,,,,,,
562,Loganberg,1/13/2018 23:53,41.86,7.05E+12,23,Urban,,,,,,,
563,West Heidi,2/24/2018 4:41,40.8,4.27E+12,28,Urban,,,,,,,
564,Robertport,2/24/2018 22:01,8.48,2.89E+12,12,Urban,,,,,,,
565,Karenside,3/14/2018 17:07,16.31,8.82E+12,5,Urban,,,,,,,
566,West Christopherberg,3/20/2018 3:04,42.83,6.90E+12,32,Urban,,,,,,,
567,West Gabriel,1/15/2018 14:51,13.38,7.56E+12,57,Urban,,,,,,,
568,Simpsonburgh,4/1/2018 4:02,25.65,2.87E+12,21,Urban,,,,,,,
569,West Robert,5/4/2018 4:36,5.36,9.80E+12,39,Urban,,,,,,,
570,Loganberg,2/17/2018 7:58,44.47,3.54E+12,23,Urban,,,,,,,
571,West Anthony,4/20/2018 20:13,11.85,4.27E+12,70,Urban,,,,,,,
572,Jerryton,5/1/2018 17:20,4.97,8.10E+12,64,Urban,,,,,,,
573,North Jasmine,3/4/2018 16:59,42.58,8.86E+12,33,Urban,,,,,,,
574,North Madeline,1/26/2018 2:37,5.59,3.68E+12,19,Urban,,,,,,,
575,Royland,3/25/2018 18:17,7.09,5.66E+12,64,Urban,,,,,,,
576,New Paulton,1/21/2018 17:04,18.3,3.72E+12,44,Urban,,,,,,,
577,Richardfort,2/8/2018 15:50,16.55,2.27E+12,38,Urban,,,,,,,
578,Barajasview,2/3/2018 9:58,39.39,9.44E+12,26,Urban,,,,,,,
579,Pattyland,4/18/2018 23:27,28.66,2.34E+12,59,Urban,,,,,,,
580,West Christopherberg,2/17/2018 3:30,4.4,4.35E+12,32,Urban,,,,,,,
581,Grahamburgh,2/25/2018 12:18,14.51,6.16E+12,61,Urban,,,,,,,
582,New Kimberlyborough,4/11/2018 10:38,12.01,1.36E+11,33,Urban,,,,,,,
583,North Madeline,5/2/2018 23:25,11.94,7.53E+12,19,Urban,,,,,,,
584,Simpsonburgh,4/12/2018 19:38,22.45,7.81E+12,21,Urban,,,,,,,
585,Martinezhaven,2/16/2018 17:25,15.33,9.81E+12,25,Urban,,,,,,,
586,West Heidi,3/30/2018 2:27,11.15,2.26E+12,28,Urban,,,,,,,
587,Christopherfurt,4/12/2018 14:37,22.91,5.93E+12,41,Urban,,,,,,,
588,Karenside,4/28/2018 2:38,39.41,4.71E+12,5,Urban,,,,,,,
589,Rogerston,4/1/2018 9:27,28.54,9.96E+12,25,Urban,,,,,,,
590,West Samuelburgh,2/19/2018 11:01,17.77,7.61E+12,73,Urban,,,,,,,
591,Joneschester,3/17/2018 22:39,15.35,2.31E+12,39,Urban,,,,,,,
592,West Heidi,2/27/2018 11:19,35.19,7.00E+12,28,Urban,,,,,,,
593,West Heidi,3/2/2018 9:13,23.55,6.48E+12,28,Urban,,,,,,,
594,Roberthaven,3/30/2018 15:12,16.2,2.95E+12,47,Urban,,,,,,,
595,Karenberg,4/7/2018 16:28,16.11,4.81E+12,22,Urban,,,,,,,
596,Port Angela,3/8/2018 16:32,23.06,2.75E+12,67,Urban,,,,,,,
597,Hurleymouth,2/7/2018 6:07,36.7,1.75E+11,36,Urban,,,,,,,
598,Simpsonburgh,3/31/2018 11:49,24.16,9.71E+12,21,Urban,,,,,,,
599,South Jack,3/14/2018 17:18,18.66,3.51E+12,46,Urban,,,,,,,
600,New Jacobville,3/10/2018 1:02,10.63,6.50E+11,50,Urban,,,,,,,
601,Williamsstad,4/16/2018 16:21,32.43,7.18E+12,59,Urban,,,,,,,
602,Port Johnbury,3/27/2018 8:26,38.99,4.12E+12,3,Urban,,,,,,,
603,North Jasmine,2/17/2018 0:27,35.11,6.62E+12,33,Urban,,,,,,,
604,South Jack,1/3/2018 23:11,4.95,9.01E+12,46,Urban,,,,,,,
605,Pattyland,4/23/2018 2:57,13.01,9.35E+12,59,Urban,,,,,,,
606,Raymondhaven,2/16/2018 4:31,24.31,8.96E+12,11,Urban,,,,,,,
607,Joneschester,4/24/2018 13:07,9.78,9.67E+11,39,Urban,,,,,,,
608,North Jason,2/19/2018 4:45,15.87,7.79E+12,6,Urban,,,,,,,
609,Williamsstad,2/22/2018 4:25,20.56,5.81E+12,59,Urban,,,,,,,
610,West Christopherberg,2/19/2018 19:49,40.98,7.52E+11,32,Urban,,,,,,,
611,South Karenland,3/19/2018 14:50,23.07,5.76E+12,4,Urban,,,,,,,
612,Rodneyfort,3/7/2018 23:37,7.78,2.86E+12,34,Urban,,,,,,,
613,Lake Scottton,2/5/2018 11:47,24.54,3.77E+12,58,Urban,,,,,,,
614,Royland,1/26/2018 21:29,14.68,1.75E+12,64,Urban,,,,,,,
615,Martinezhaven,1/21/2018 1:50,42.75,9.06E+12,25,Urban,,,,,,,
616,West Patrickchester,3/17/2018 4:51,17.38,3.07E+12,25,Urban,,,,,,,
617,Raymondhaven,3/31/2018 17:01,36.29,8.96E+12,11,Urban,,,,,,,
618,West Robert,3/6/2018 6:10,22.86,2.32E+12,39,Urban,,,,,,,
619,South Evanton,2/25/2018 18:39,15.06,8.87E+12,11,Urban,,,,,,,
620,West Christopherberg,3/7/2018 20:09,32.27,2.18E+12,32,Urban,,,,,,,
621,West Josephberg,4/19/2018 1:55,42.53,6.11E+12,45,Urban,,,,,,,
622,Liumouth,3/6/2018 7:44,23.53,2.43E+12,69,Urban,,,,,,,
623,West Christopherberg,2/10/2018 19:41,8.42,8.36E+11,32,Urban,,,,,,,
624,Hurleymouth,2/23/2018 13:48,18.15,6.05E+12,36,Urban,,,,,,,
625,Port Angela,2/26/2018 10:01,28.52,6.78E+12,67,Urban,,,,,,,
626,West Samuelburgh,1/31/2018 9:17,14.11,6.04E+12,73,Urban,,,,,,,
627,North Barbara,4/6/2018 9:03,26.64,9.29E+11,18,Urban,,,,,,,
628,Rodneyfort,4/29/2018 0:20,44.28,6.98E+12,34,Urban,,,,,,,
629,North Jason,4/5/2018 2:05,31.89,9.99E+12,6,Urban,,,,,,,
630,Port David,2/11/2018 23:07,10.05,6.92E+12,7,Urban,,,,,,,
631,Raymondhaven,1/27/2018 15:52,41.76,7.33E+12,11,Urban,,,,,,,
632,Barajasview,3/12/2018 4:54,37.05,1.83E+12,26,Urban,,,,,,,
633,Liumouth,1/17/2018 16:17,33.29,3.42E+12,69,Urban,,,,,,,
634,North Barbara,3/24/2018 6:49,4.05,5.34E+12,18,Urban,,,,,,,
635,Valentineton,4/3/2018 11:34,18.62,5.55E+11,45,Urban,,,,,,,
